Time:2:592  g:-0.4731183
Time:2:613  g:-0.1251222
Time:2:634  g:0.113392
Time:2:655  g:0.3519062
Time:2:676  g:0.5083089
Time:2:697  g:0.6647117
Time:2:718  g:0.7820137
Time:2:739  g:0.7898338
Time:2:760  g:0.7507331
Time:2:781  g:0.7038123
Time:2:802  g:0.6686217
Time:2:823  g:0.6647117
Time:2:844  g:0.684262
Time:2:865  g:0.688172
Time:2:886  g:0.6334311
Time:2:907  g:0.4418377
Time:2:928  g:0.1642229
Time:2:949  g:-0.3010753
Time:2:970  g:-0.742913
Time:2:991  g:-1.14956
Time:3:12  g:-1.434995
Time:3:33  g:-1.524927
Time:3:54  g:-1.591398
Time:3:75  g:-1.70088
Time:3:96  g:-1.818182
Time:3:117  g:-1.865103
Time:3:139  g:-1.869013
Time:3:160  g:-1.763441
Time:3:181  g:-1.630499
Time:3:202  g:-1.493646
Time:3:223  g:-1.360704
Time:3:244  g:-1.184751
Time:3:265  g:-1.036168
Time:3:286  g:-0.8484849
Time:3:307  g:-0.516129
Time:3:328  g:-0.1603128
Time:3:349  g:0.1603128
Time:3:370  g:0.3792766
Time:3:391  g:0.4809384
Time:3:412  g:0.6490713
Time:3:433  g:0.6647117
Time:3:454  g:0.6764418
Time:3:475  g:0.6725318
Time:3:496  g:0.6490713
Time:3:517  g:0.6256109
Time:3:538  g:0.6490713
Time:3:559  g:0.6686217
Time:3:580  g:0.688172
Time:3:601  g:0.5786901
Time:3:622  g:0.3479961
Time:3:643  g:-0.01173021
Time:3:664  g:-0.5669599
Time:3:685  g:-1.051808
Time:3:706  g:-1.337243
Time:3:727  g:-1.446725
Time:3:748  g:-1.634409
Time:3:769  g:-1.779081
Time:3:791  g:-1.865103
Time:3:812  g:-1.966764
Time:3:833  g:-1.994135
Time:3:854  g:-1.947214
Time:3:875  g:-1.806452
Time:3:896  g:-1.646139
Time:3:917  g:-1.505376
Time:3:938  g:-1.305963
Time:3:959  g:-1.036168
Time:3:980  g:-0.9618768
Time:4:1  g:-0.7038123
Time:4:22  g:-0.3753666
Time:4:43  g:0.03519062
Time:4:64  g:0.3714565
Time:4:85  g:0.6256109
Time:4:106  g:0.8093842
Time:4:127  g:0.9188661
Time:4:148  g:0.9032258
Time:4:169  g:0.8797654
Time:4:190  g:0.8289345
Time:4:211  g:0.7781036
Time:4:232  g:0.7898338
Time:4:253  g:0.8172043
Time:4:274  g:0.8211144
Time:4:295  g:0.7272727
Time:4:316  g:0.5669599
Time:4:337  g:0.2346041
Time:4:358  g:-0.344086
Time:4:379  g:-0.7311828
Time:4:400  g:-1.1261
Time:4:421  g:-1.438905
Time:4:442  g:-1.560117
Time:4:463  g:-1.587488
Time:4:484  g:-1.610948
Time:4:505  g:-1.630499
Time:4:526  g:-1.665689
Time:4:547  g:-1.71652
Time:4:568  g:-1.70479
Time:4:589  g:-1.610948
Time:4:610  g:-1.544477
Time:4:631  g:-1.434995
Time:4:652  g:-1.317693
Time:4:673  g:-1.15347
Time:4:694  g:-0.8523949
Time:4:715  g:-0.7311828
Time:4:736  g:-0.5004888
Time:4:757  g:-0.1837732
Time:4:778  g:0.1290323
Time:4:799  g:0.3675464
Time:4:820  g:0.4809384
Time:4:841  g:0.4848485
Time:4:862  g:0.5513197
Time:4:883  g:0.5826002
Time:4:904  g:0.6647117
Time:4:925  g:0.6920821
Time:4:946  g:0.6647117
Time:4:967  g:0.6529814
Time:4:988  g:0.6686217
Time:5:9  g:0.629521
Time:5:30  g:0.3949169
Time:5:51  g:0.02737048
Time:5:72  g:-0.3362659
Time:5:93  g:-0.684262
Time:5:114  g:-0.9970675
Time:5:135  g:-1.223851
Time:5:156  g:-1.450635
Time:5:177  g:-1.517107
Time:5:198  g:-1.548387
Time:5:219  g:-1.657869
Time:5:240  g:-1.755621
Time:5:261  g:-1.72825
Time:5:282  g:-1.70088
Time:5:303  g:-1.71261
Time:5:324  g:-1.70479
Time:5:345  g:-1.614858
Time:5:367  g:-1.497556
Time:5:388  g:-1.348974
Time:5:409  g:-1.15738
Time:5:430  g:-0.9736071
Time:5:452  g:-0.7781036
Time:5:473  g:-0.5591398
Time:5:494  g:-0.2737048
Time:5:515  g:0.01955034
Time:5:536  g:0.1994135
Time:5:557  g:0.4183773
Time:5:578  g:0.5786901
Time:5:599  g:0.6920821
Time:5:620  g:0.7311828
Time:5:641  g:0.6647117
Time:5:662  g:0.7038123
Time:5:683  g:0.7820137
Time:5:704  g:0.688172
Time:5:725  g:0.6021506
Time:5:746  g:0.4379277
Time:5:767  g:0.2619746
Time:5:788  g:0.08602151
Time:5:809  g:-0.1446725
Time:5:830  g:-0.5083089
Time:5:851  g:-1.004888
Time:5:872  g:-1.337243
Time:5:893  g:-1.411535
Time:5:914  g:-1.399804
Time:5:935  g:-1.294233
Time:5:956  g:-1.16911
Time:5:977  g:-1.094819
Time:5:998  g:-1.086999
Time:6:19  g:-1.012708
Time:6:40  g:-0.9032258
Time:6:61  g:-0.7077224
Time:6:82  g:-0.3519062
Time:6:103  g:-0.01173021
Time:6:124  g:0.230694
Time:6:145  g:0.4418377
Time:6:166  g:0.6490713
Time:6:187  g:0.7820137
Time:6:208  g:0.8172043
Time:6:229  g:0.9540567
Time:6:250  g:0.9892473
Time:6:271  g:0.9618768
Time:6:292  g:0.911046
Time:6:313  g:0.7624633
Time:6:334  g:0.6177908
Time:6:355  g:0.6490713
Time:6:376  g:0.6256109
Time:6:397  g:0.6060606
Time:6:418  g:0.5513197
Time:6:439  g:0.4613881
Time:6:460  g:0.3714565
Time:6:481  g:0.2228739
Time:6:502  g:0.03519062
Time:6:523  g:-0.1837732
Time:6:544  g:-0.2072336
Time:6:565  g:-0.230694
Time:6:586  g:-0.5004888
Time:6:607  g:-0.6217009
Time:6:628  g:-0.5786901
Time:6:649  g:-0.5982405
Time:6:670  g:-0.7781036
Time:6:691  g:-0.9384164
Time:6:712  g:-1.071359
Time:6:733  g:-1.098729
Time:6:754  g:-1.059628
Time:6:775  g:-1.016618
Time:6:796  g:-0.9462366
Time:6:817  g:-0.6803519
Time:6:838  g:-0.3479961
Time:6:861  g:-0.05865103
Time:6:882  g:0.1837732
Time:6:903  g:0.4105572
Time:6:924  g:0.5083089
Time:6:945  g:0.6021506
Time:6:966  g:0.8132942
Time:6:987  g:0.8758553
Time:7:8  g:0.6256109
Time:7:29  g:0.4809384
Time:7:50  g:0.4457478
Time:7:71  g:0.4887586
Time:7:92  g:0.5552297
Time:7:113  g:0.629521
Time:7:134  g:0.6686217
Time:7:155  g:0.6764418
Time:7:176  g:0.6256109
Time:7:197  g:0.5826002
Time:7:218  g:0.5552297
Time:7:239  g:0.512219
Time:7:260  g:0.4027371
Time:7:281  g:0.2150538
Time:7:302  g:0.0742913
Time:7:323  g:-0.04692082
Time:7:344  g:-0.3870968
Time:7:365  g:-0.7194526
Time:7:386  g:-0.9305963
Time:7:407  g:-1.024438
Time:7:428  g:-1.020528
Time:7:449  g:-0.8680352
Time:7:470  g:-0.7272727
Time:7:492  g:-0.6725318
Time:7:513  g:-0.6138808
Time:7:534  g:-0.5943304
Time:7:555  g:-0.5982405
Time:7:576  g:-0.5982405
Time:7:598  g:-0.6256109
Time:7:619  g:-0.7194526
Time:7:640  g:-0.9032258
Time:7:661  g:-1.1261
Time:7:682  g:-1.325513
Time:7:703  g:-1.485826
Time:7:724  g:-1.368524
Time:7:746  g:-0.6529814
Time:7:767  g:-0.04692082
Time:7:788  g:0.3088954
Time:7:809  g:0.5591398
Time:7:830  g:0.6412512
Time:7:851  g:0.8289345
Time:7:872  g:0.9345064
Time:7:893  g:0.9188661
Time:7:914  g:0.9071358
Time:7:935  g:0.9501466
Time:7:956  g:0.9305963
Time:7:977  g:0.8954057
Time:7:998  g:0.8954057
Time:8:19  g:0.9071358
Time:8:40  g:0.7663734
Time:8:61  g:0.398827
Time:8:82  g:-0.02346041
Time:8:103  g:-0.2658846
Time:8:124  g:-0.4144672
Time:8:145  g:-0.8289345
Time:8:166  g:-0.9618768
Time:8:187  g:-0.9540567
Time:8:208  g:-0.9814272
Time:8:229  g:-0.8954057
Time:8:250  g:-0.7702835
Time:8:271  g:-0.6959922
Time:8:292  g:-0.7077224
Time:8:313  g:-0.7624633
Time:8:334  g:-0.8602151
Time:8:355  g:-1.040078
Time:8:376  g:-1.345064
Time:8:397  g:-1.446725
Time:8:418  g:-1.11828
Time:8:439  g:-0.7272727
Time:8:460  g:-0.1837732
Time:8:481  g:0.2111437
Time:8:502  g:0.3675464
Time:8:523  g:0.4692082
Time:8:544  g:0.5552297
Time:8:565  g:0.6451613
Time:8:586  g:0.7663734
Time:8:607  g:0.7507331
Time:8:628  g:0.8211144
Time:8:649  g:0.9071358
Time:8:670  g:0.8680352
Time:8:691  g:0.6959922
Time:8:712  g:0.516129
Time:8:733  g:0.3245357
Time:8:754  g:0.1642229
Time:8:775  g:0.1055719
Time:8:796  g:0.04301075
Time:8:818  g:-0.05474096
Time:8:839  g:-0.1251222
Time:8:860  g:-0.1564027
Time:8:881  g:-0.1681329
Time:8:902  g:-0.2815249
Time:8:923  g:-0.3206256
Time:8:944  g:-0.2815249
Time:8:965  g:-0.2072336
Time:8:986  g:-0.1368524
Time:9:7  g:-0.1094819
Time:9:28  g:-0.05865103
Time:9:49  g:0.03128055
Time:9:70  g:0.09775171
Time:9:91  g:0.09384164
Time:9:112  g:0.02737048
Time:9:133  g:-0.04692082
Time:9:154  g:-0.1251222
Time:9:175  g:-0.2385142
Time:9:196  g:-0.4105572
Time:9:217  g:-0.6451613
Time:9:239  g:-0.9423265
Time:9:260  g:-1.216031
Time:9:281  g:-1.255132
Time:9:302  g:-1.071359
Time:9:323  g:-0.8797654
